#	########################################
#	##### Peptide Assembling by Sipros #####
#	########################################
#
#	###############
#	# Input Files #
#	###############
#
#	[Input_Files]
#
#	psm{Run1} = sipNew/Pan_052322_X1.psm.txt
#
#	pep{Run1} = sipNew/Pan_052322_X1.pep.txt
#
#	########################
#	# Filtering Parameters #
#	########################
#
#	[Protein_Identification]
#
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 1
#
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#
#	#######################
#	# Statistical Results #
#	#######################
#
#	[Statistical_Results]
#
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 72
#	Target_Proteins_Before_Filtering = 1196
#	Total_Proteins_Before_Filtering = 1268
#
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 71
#	Target_Proteins_After_Filtering = 1183
#	Total_Proteins_After_Filtering = 1254
#
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.0566188197767
#
#	################
#	# Column Names #
#	################
#
#	[Column_Names]
#
#	+ = Marker of a protein line
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#
#	* = Marker of a PSM line
#	Filename = Filename of input FT2 file
#	ScanNumber = Scan number of the PSM
#	ParentCharge = Charge state of the PSM
#	MeasuredParentMass = Measured parent mass
#	CalculatedParentMass = Calculated parent mass from peptide sequence
#	MassErrorDa = Mass error in Da with 1-Da error correction
#	MassErrorPPM = Mass error in PPM with 1-Da error correction
#	ScanType = Scan type of the PSM
#	SearchName = Sipros search name
#	ScoringFunction = Scoring function used in the search
#	Score = Score
#	DeltaZ = Difference between the best PSM and the next best PSM of this scan
#	DeltaP = Difference between the best modified PSM and its PTM isoform
#	IdentifiedPeptide = Identified peptide sequence with potential PTMs and mutations
#	OriginalPeptide = Original peptide sequence in the FASTA file
#	ProteinNames = Names of proteins of the peptide
#	ProteinCount = Number of proteins that the peptide can be assigned to
#	TargetMatch = T for target match and F for decoy match
#
	ProteinID	AverageEnrichmentLevel	StandardDeviation	UniqueSpectrumCounts	TotalSpectrumCounts	EnrichmentLevels	ProteinDescription
+	{sp|P07003|POXB_ECOLI}	52000	0	10	10	{52000,52000,52000,52000,52000,52000,52000,52000,52000,52000}	{sp|P07003|POXB_ECOLI Pyruvate dehydrogenase [ubiquinone] OS=Escherichia coli (strain K12) OX=83333 GN=poxB PE=1 SV=1}
+	{sp|P45577|PROQ_ECOLI}	54000	0	1	1	{54000}	{sp|P45577|PROQ_ECOLI RNA chaperone ProQ OS=Escherichia coli (strain K12) OX=83333 GN=proQ PE=1 SV=2}
+	{sp|P07004|PROA_ECOLI}	45000	0	3	3	{45000,45000,45000}	{sp|P07004|PROA_ECOLI Gamma-glutamyl phosphate reductase OS=Escherichia coli (strain K12) OX=83333 GN=proA PE=1 SV=2}
+	{sp|P33136|OPGG_ECOLI}	49000	0	3	3	{49000,49000,49000}	{sp|P33136|OPGG_ECOLI Glucans biosynthesis protein G OS=Escherichia coli (strain K12) OX=83333 GN=mdoG PE=1 SV=1}
+	{sp|P37685|ALDB_ECOLI}	50000	0	1	1	{50000}	{sp|P37685|ALDB_ECOLI Aldehyde dehydrogenase B OS=Escherichia coli (strain K12) OX=83333 GN=aldB PE=1 SV=2}
+	{sp|P00957|SYA_ECOLI}	55000	0	4	4	{55000,55000,55000,55000}	{sp|P00957|SYA_ECOLI Alanine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=alaS PE=1 SV=2}
+	{sp|P75728|UBIF_ECOLI}	51000	0	1	1	{51000}	{sp|P75728|UBIF_ECOLI 3-demethoxyubiquinol 3-hydroxylase OS=Escherichia coli (strain K12) OX=83333 GN=ubiF PE=1 SV=1}
+	{sp|P0A8R0|RRAA_ECOLI}	49000	0	1	1	{49000}	{sp|P0A8R0|RRAA_ECOLI Regulator of ribonuclease activity A OS=Escherichia coli (strain K12) OX=83333 GN=rraA PE=1 SV=1}
+	{sp|P0A6X7|IHFA_ECOLI}	52000	0	3	3	{52000,52000,52000}	{sp|P0A6X7|IHFA_ECOLI Integration host factor subunit alpha OS=Escherichia coli (strain K12) OX=83333 GN=ihfA PE=1 SV=1}
+	{sp|P09832|GLTD_ECOLI}	35000	0	1	1	{35000}	{sp|P09832|GLTD_ECOLI Glutamate synthase [NADPH] small chain OS=Escherichia coli (strain K12) OX=83333 GN=gltD PE=1 SV=3}
+	{sp|P21170|SPEA_ECOLI}	52000	0	4	4	{52000,52000,52000,52000}	{sp|P21170|SPEA_ECOLI Biosynthetic arginine decarboxylase OS=Escherichia coli (strain K12) OX=83333 GN=speA PE=1 SV=2}
+	{sp|P09158|SPEE_ECOLI}	57000	0	1	1	{57000}	{sp|P09158|SPEE_ECOLI Polyamine aminopropyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=speE PE=1 SV=2}
+	{sp|Q46938|KDUI_ECOLI}	41000	0	2	2	{41000,41000}	{sp|Q46938|KDUI_ECOLI 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase OS=Escherichia coli (strain K12) OX=83333 GN=kduI PE=1 SV=1}
+	{sp|P0ACY1|YDJA_ECOLI}	48000	0	6	6	{48000,48000,48000,48000,48000,48000}	{sp|P0ACY1|YDJA_ECOLI Putative NAD(P)H nitroreductase YdjA OS=Escherichia coli (strain K12) OX=83333 GN=ydjA PE=1 SV=1}
+	{sp|P02931|OMPF_ECOLI}	43000	0	1	1	{43000}	{sp|P02931|OMPF_ECOLI Outer membrane porin F OS=Escherichia coli (strain K12) OX=83333 GN=ompF PE=1 SV=1}
+	{sp|P0A9G6|ACEA_ECOLI}	56000	0	4	4	{56000,56000,56000,56000}	{sp|P0A9G6|ACEA_ECOLI Isocitrate lyase OS=Escherichia coli (strain K12) OX=83333 GN=aceA PE=1 SV=1}
+	{Rev_sp|P06986|HIS8_ECOLI}	16000	0	1	1	{16000}	{N/A}
+	{sp|P31133|POTF_ECOLI}	50000	0	1	1	{50000}	{sp|P31133|POTF_ECOLI Putrescine-binding periplasmic protein PotF OS=Escherichia coli (strain K12) OX=83333 GN=potF PE=1 SV=3}
+	{sp|P21513|RNE_ECOLI}	55000	0	1	1	{55000}	{sp|P21513|RNE_ECOLI Ribonuclease E OS=Escherichia coli (strain K12) OX=83333 GN=rne PE=1 SV=6}
+	{sp|P37689|GPMI_ECOLI}	57000	0	1	1	{57000}	{sp|P37689|GPMI_ECOLI 2,3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Escherichia coli (strain K12) OX=83333 GN=gpmI PE=1 SV=1}
+	{sp|P0ABU0|MENB_ECOLI}	49000	0	2	2	{49000,49000}	{sp|P0ABU0|MENB_ECOLI 1,4-dihydroxy-2-naphthoyl-CoA synthase OS=Escherichia coli (strain K12) OX=83333 GN=menB PE=1 SV=1}
+	{sp|P0A905|SLYB_ECOLI}	49000	0	4	4	{49000,49000,49000,49000}	{sp|P0A905|SLYB_ECOLI Outer membrane lipoprotein SlyB OS=Escherichia coli (strain K12) OX=83333 GN=slyB PE=2 SV=1}
+	{sp|P0A917|OMPX_ECOLI}	55000	0	1	1	{55000}	{sp|P0A917|OMPX_ECOLI Outer membrane protein X OS=Escherichia coli (strain K12) OX=83333 GN=ompX PE=1 SV=1}
+	{sp|P60546|KGUA_ECOLI}	46000	0	1	1	{46000}	{sp|P60546|KGUA_ECOLI Guanylate kinase OS=Escherichia coli (strain K12) OX=83333 GN=gmk PE=1 SV=1}
+	{sp|P0AGC3|SLT_ECOLI}	49000	0	1	1	{49000}	{sp|P0AGC3|SLT_ECOLI Soluble lytic murein transglycosylase OS=Escherichia coli (strain K12) OX=83333 GN=slt PE=1 SV=1}
+	{sp|P06610|BTUE_ECOLI}	47000	0	1	1	{47000}	{sp|P06610|BTUE_ECOLI Thioredoxin/glutathione peroxidase BtuE OS=Escherichia coli (strain K12) OX=83333 GN=btuE PE=1 SV=1}
+	{sp|P0A8L1|SYS_ECOLI}	50000	0	5	5	{50000,50000,50000,50000,50000}	{sp|P0A8L1|SYS_ECOLI Serine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=serS PE=1 SV=1}
+	{sp|P0A707|IF3_ECOLI}	49000	0	5	5	{49000,49000,49000,49000,49000}	{sp|P0A707|IF3_ECOLI Translation initiation factor IF-3 OS=Escherichia coli (strain K12) OX=83333 GN=infC PE=1 SV=1}
+	{sp|P0A8A0|YEBC_ECOLI}	51000	0	2	2	{51000,51000}	{sp|P0A8A0|YEBC_ECOLI Probable transcriptional regulatory protein YebC OS=Escherichia coli (strain K12) OX=83333 GN=yebC PE=1 SV=1}
+	{sp|P00509|AAT_ECOLI}	49000	0	18	18	{49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000}	{sp|P00509|AAT_ECOLI Aspartate aminotransferase OS=Escherichia coli (strain K12) OX=83333 GN=aspC PE=1 SV=1}
+	{sp|P0A7E9|PYRH_ECOLI}	48000	0	1	1	{48000}	{sp|P0A7E9|PYRH_ECOLI Uridylate kinase OS=Escherichia coli (strain K12) OX=83333 GN=pyrH PE=1 SV=2}
+	{sp|P0A6A3|ACKA_ECOLI}	48000	0	1	1	{48000}	{sp|P0A6A3|ACKA_ECOLI Acetate kinase OS=Escherichia coli (strain K12) OX=83333 GN=ackA PE=1 SV=1}
+	{sp|P0AGD7|SRP54_ECOLI}	54000	0	2	2	{54000,54000}	{sp|P0AGD7|SRP54_ECOLI Signal recognition particle protein OS=Escherichia coli (strain K12) OX=83333 GN=ffh PE=1 SV=1}
+	{sp|P76251|DMLA_ECOLI}	54000	0	8	8	{54000,54000,54000,54000,54000,54000,54000,54000}	{sp|P76251|DMLA_ECOLI D-malate dehydrogenase [decarboxylating] OS=Escherichia coli (strain K12) OX=83333 GN=dmlA PE=1 SV=1}
+	{sp|P09831|GLTB_ECOLI}	47000	0	18	18	{47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000}	{sp|P09831|GLTB_ECOLI Glutamate synthase [NADPH] large chain OS=Escherichia coli (strain K12) OX=83333 GN=gltB PE=1 SV=3}
+	{sp|P76402|YEGP_ECOLI}	53000	0	1	1	{53000}	{sp|P76402|YEGP_ECOLI UPF0339 protein YegP OS=Escherichia coli (strain K12) OX=83333 GN=yegP PE=1 SV=2}
+	{sp|P0A7A9|IPYR_ECOLI}	43000	0	1	1	{43000}	{sp|P0A7A9|IPYR_ECOLI Inorganic pyrophosphatase OS=Escherichia coli (strain K12) OX=83333 GN=ppa PE=1 SV=2}
+	{sp|P0A7W1|RS5_ECOLI}	56000	0	3	3	{56000,56000,56000}	{sp|P0A7W1|RS5_ECOLI 30S ribosomal protein S5 OS=Escherichia coli (strain K12) OX=83333 GN=rpsE PE=1 SV=2}
+	{sp|P0A6X3|HFQ_ECOLI}	46000	0	1	1	{46000}	{sp|P0A6X3|HFQ_ECOLI RNA-binding protein Hfq OS=Escherichia coli (strain K12) OX=83333 GN=hfq PE=1 SV=2}
+	{sp|P0A9Q9|DHAS_ECOLI}	52000	0	2	2	{52000,52000}	{sp|P0A9Q9|DHAS_ECOLI Aspartate-semialdehyde dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=asd PE=1 SV=1}
+	{sp|P00909|TRPC_ECOLI}	53000	0	12	12	{53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000}	{sp|P00909|TRPC_ECOLI Tryptophan biosynthesis protein TrpCF OS=Escherichia coli (strain K12) OX=83333 GN=trpC PE=1 SV=4}
+	{sp|P0AB43|YCGL_ECOLI}	49000	0	3	3	{49000,49000,49000}	{sp|P0AB43|YCGL_ECOLI Protein YcgL OS=Escherichia coli (strain K12) OX=83333 GN=ycgL PE=1 SV=3}
+	{sp|P0ACJ8|CRP_ECOLI}	46000	0	2	2	{46000,46000}	{sp|P0ACJ8|CRP_ECOLI cAMP-activated global transcriptional regulator CRP OS=Escherichia coli (strain K12) OX=83333 GN=crp PE=1 SV=1}
+	{sp|P0A9Y6|CSPC_ECOLI}	40000	0	1	1	{40000}	{sp|P0A9Y6|CSPC_ECOLI Cold shock-like protein CspC OS=Escherichia coli (strain K12) OX=83333 GN=cspC PE=1 SV=2}
+	{sp|P37095|PEPB_ECOLI}	56000	0	1	1	{56000}	{sp|P37095|PEPB_ECOLI Peptidase B OS=Escherichia coli (strain K12) OX=83333 GN=pepB PE=1 SV=2}
+	{sp|P63020|NFUA_ECOLI}	48000	0	6	6	{48000,48000,48000,48000,48000,48000}	{sp|P63020|NFUA_ECOLI Fe/S biogenesis protein NfuA OS=Escherichia coli (strain K12) OX=83333 GN=nfuA PE=1 SV=1}
+	{sp|P21888|SYC_ECOLI}	48000	0	5	5	{48000,48000,48000,48000,48000}	{sp|P21888|SYC_ECOLI Cysteine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=cysS PE=1 SV=2}
+	{sp|P05793|ILVC_ECOLI}	55000	0	6	6	{55000,55000,55000,55000,55000,55000}	{sp|P05793|ILVC_ECOLI Ketol-acid reductoisomerase (NADP(+)) OS=Escherichia coli (strain K12) OX=83333 GN=ilvC PE=1 SV=4}
+	{sp|P33195|GCSP_ECOLI}	54000	0	6	6	{54000,54000,54000,54000,54000,54000}	{sp|P33195|GCSP_ECOLI Glycine dehydrogenase (decarboxylating) OS=Escherichia coli (strain K12) OX=83333 GN=gcvP PE=1 SV=3}
+	{sp|P0ADA3|NLPD_ECOLI}	61000	0	2	2	{61000,61000}	{sp|P0ADA3|NLPD_ECOLI Murein hydrolase activator NlpD OS=Escherichia coli (strain K12) OX=83333 GN=nlpD PE=1 SV=1}
+	{sp|P00452|RIR1_ECOLI}	43000	0	1	1	{43000}	{sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) OX=83333 GN=nrdA PE=1 SV=2}
+	{sp|P0A6N4|EFP_ECOLI}	54000	0	1	1	{54000}	{sp|P0A6N4|EFP_ECOLI Elongation factor P OS=Escherichia coli (strain K12) OX=83333 GN=efp PE=1 SV=2}
+	{sp|P0A7D7|PUR7_ECOLI}	47000	0	5	5	{47000,47000,47000,47000,47000}	{sp|P0A7D7|PUR7_ECOLI Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Escherichia coli (strain K12) OX=83333 GN=purC PE=1 SV=1}
+	{sp|P12008|AROC_ECOLI}	46000	0	2	2	{46000,46000}	{sp|P12008|AROC_ECOLI Chorismate synthase OS=Escherichia coli (strain K12) OX=83333 GN=aroC PE=1 SV=4}
+	{sp|P0ADG4|SUHB_ECOLI}	48000	0	1	1	{48000}	{sp|P0ADG4|SUHB_ECOLI Nus factor SuhB OS=Escherichia coli (strain K12) OX=83333 GN=suhB PE=1 SV=1}
+	{sp|P30871|3PASE_ECOLI}	45000	0	1	1	{45000}	{sp|P30871|3PASE_ECOLI Inorganic triphosphatase OS=Escherichia coli (strain K12) OX=83333 GN=ygiF PE=1 SV=1}
+	{sp|P76350|SHIA_ECOLI}	53000	0	2	2	{53000,53000}	{sp|P76350|SHIA_ECOLI Shikimate transporter OS=Escherichia coli (strain K12) OX=83333 GN=shiA PE=2 SV=1}
+	{sp|P23836|PHOP_ECOLI}	52000	0	3	3	{52000,52000,52000}	{sp|P23836|PHOP_ECOLI Transcriptional regulatory protein PhoP OS=Escherichia coli (strain K12) OX=83333 GN=phoP PE=1 SV=1}
+	{sp|P30011|NADC_ECOLI}	51000	0	1	1	{51000}	{sp|P30011|NADC_ECOLI Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Escherichia coli (strain K12) OX=83333 GN=nadC PE=1 SV=7}
+	{sp|P0A7K2|RL7_ECOLI}	60000	0	6	6	{60000,60000,60000,60000,60000,60000}	{sp|P0A7K2|RL7_ECOLI 50S ribosomal protein L7/L12 OS=Escherichia coli (strain K12) OX=83333 GN=rplL PE=1 SV=2}
+	{sp|P04816|LIVK_ECOLI,sp|P0AD96|LIVJ_ECOLI}	55000	0	1	1	{55000}	{sp|P04816|LIVK_ECOLI Leucine-specific-binding protein OS=Escherichia coli (strain K12) OX=83333 GN=livK PE=1 SV=2,sp|P0AD96|LIVJ_ECOLI Leu/Ile/Val-binding protein OS=Escherichia coli (strain K12) OX=83333 GN=livJ PE=1 SV=1}
+	{sp|Q46938|KDUI_ECOLI}	50000	0	19	19	{50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000}	{sp|Q46938|KDUI_ECOLI 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase OS=Escherichia coli (strain K12) OX=83333 GN=kduI PE=1 SV=1}
+	{sp|P61889|MDH_ECOLI}	55000	0	1	1	{55000}	{sp|P61889|MDH_ECOLI Malate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=mdh PE=1 SV=1}
+	{sp|Q46871|YQJH_ECOLI}	50000	0	2	2	{50000,50000}	{sp|Q46871|YQJH_ECOLI NADPH-dependent ferric-chelate reductase OS=Escherichia coli (strain K12) OX=83333 GN=yqjH PE=1 SV=1}
+	{sp|P0ADY3|RL14_ECOLI}	52000	0	1	1	{52000}	{sp|P0ADY3|RL14_ECOLI 50S ribosomal protein L14 OS=Escherichia coli (strain K12) OX=83333 GN=rplN PE=1 SV=1}
+	{sp|P28248|DCD_ECOLI}	48000	0	2	2	{48000,48000}	{sp|P28248|DCD_ECOLI dCTP deaminase OS=Escherichia coli (strain K12) OX=83333 GN=dcd PE=1 SV=1}
+	{sp|P0A799|PGK_ECOLI}	43000	0	4	4	{43000,43000,43000,43000}	{sp|P0A799|PGK_ECOLI Phosphoglycerate kinase OS=Escherichia coli (strain K12) OX=83333 GN=pgk PE=1 SV=2}
+	{sp|P0A6H5|HSLU_ECOLI}	56000	0	2	2	{56000,56000}	{sp|P0A6H5|HSLU_ECOLI ATP-dependent protease ATPase subunit HslU OS=Escherichia coli (strain K12) OX=83333 GN=hslU PE=1 SV=1}
+	{sp|P0ADQ2|FABY_ECOLI}	50000	0	1	1	{50000}	{sp|P0ADQ2|FABY_ECOLI Probable acyltransferase FabY OS=Escherichia coli (strain K12) OX=83333 GN=fabY PE=2 SV=1}
+	{sp|P46130|YBHC_ECOLI}	52000	0	1	1	{52000}	{sp|P46130|YBHC_ECOLI Putative acyl-CoA thioester hydrolase YbhC OS=Escherichia coli (strain K12) OX=83333 GN=ybhC PE=1 SV=2}
+	{sp|P19769|INSK_ECOLI}	72000	0	1	1	{72000}	{sp|P19769|INSK_ECOLI Putative transposase InsK for insertion sequence element IS150 OS=Escherichia coli (strain K12) OX=83333 GN=insK PE=2 SV=2}
+	{sp|P0A8N5|SYK2_ECOLI}	51000	0	1	6	{51000,51000,51000,51000,51000,51000}	{sp|P0A8N5|SYK2_ECOLI Lysine--tRNA ligase, heat inducible OS=Escherichia coli (strain K12) OX=83333 GN=lysU PE=1 SV=2}
+	{sp|P13035|GLPD_ECOLI}	46000	0	9	9	{46000,46000,46000,46000,46000,46000,46000,46000,46000}	{sp|P13035|GLPD_ECOLI Aerobic glycerol-3-phosphate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=glpD PE=1 SV=3}
+	{sp|P0AG55|RL6_ECOLI}	50000	0	20	20	{50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000}	{sp|P0AG55|RL6_ECOLI 50S ribosomal protein L6 OS=Escherichia coli (strain K12) OX=83333 GN=rplF PE=1 SV=2}
+	{sp|P0ADT8|YGIM_ECOLI}	45000	0	1	1	{45000}	{sp|P0ADT8|YGIM_ECOLI Uncharacterized protein YgiM OS=Escherichia coli (strain K12) OX=83333 GN=ygiM PE=3 SV=1}
+	{sp|P0DMC7|RCSB_ECOLI}	49000	0	1	1	{49000}	{sp|P0DMC7|RCSB_ECOLI Transcriptional regulatory protein RcsB OS=Escherichia coli (strain K12) OX=83333 GN=rcsB PE=1 SV=1}
+	{sp|P75915|YCDY_ECOLI}	47000	0	1	1	{47000}	{sp|P75915|YCDY_ECOLI Chaperone protein YcdY OS=Escherichia coli (strain K12) OX=83333 GN=ycdY PE=1 SV=1}
+	{sp|P0A8C1|YBJQ_ECOLI}	51000	0	2	2	{51000,51000}	{sp|P0A8C1|YBJQ_ECOLI UPF0145 protein YbjQ OS=Escherichia coli (strain K12) OX=83333 GN=ybjQ PE=1 SV=1}
+	{sp|P67087|RSMI_ECOLI}	50000	0	1	1	{50000}	{sp|P67087|RSMI_ECOLI Ribosomal RNA small subunit methyltransferase I OS=Escherichia coli (strain K12) OX=83333 GN=rsmI PE=1 SV=1}
+	{sp|P67603|AC4CH_ECOLI}	47000	0	1	1	{47000}	{sp|P67603|AC4CH_ECOLI N(4)-acetylcytidine amidohydrolase OS=Escherichia coli (strain K12) OX=83333 GN=yqfB PE=1 SV=1}
+	{sp|P0A7L3|RL20_ECOLI}	55000	0	1	1	{55000}	{sp|P0A7L3|RL20_ECOLI 50S ribosomal protein L20 OS=Escherichia coli (strain K12) OX=83333 GN=rplT PE=1 SV=2}
+	{sp|P0A908|MIPA_ECOLI}	44000	0	3	3	{44000,44000,44000}	{sp|P0A908|MIPA_ECOLI MltA-interacting protein OS=Escherichia coli (strain K12) OX=83333 GN=mipA PE=1 SV=1}
+	{sp|P0A7K6|RL19_ECOLI}	42000	0	1	1	{42000}	{sp|P0A7K6|RL19_ECOLI 50S ribosomal protein L19 OS=Escherichia coli (strain K12) OX=83333 GN=rplS PE=1 SV=2}
+	{sp|P0AEK4|FABI_ECOLI}	54000	0	3	3	{54000,54000,54000}	{sp|P0AEK4|FABI_ECOLI Enoyl-[acyl-carrier-protein] reductase [NADH] FabI OS=Escherichia coli (strain K12) OX=83333 GN=fabI PE=1 SV=2}
+	{sp|P17952|MURC_ECOLI}	49000	0	1	1	{49000}	{sp|P17952|MURC_ECOLI UDP-N-acetylmuramate--L-alanine ligase OS=Escherichia coli (strain K12) OX=83333 GN=murC PE=1 SV=2}
+	{sp|P0A8Y3|YIHX_ECOLI}	29000	0	1	1	{29000}	{sp|P0A8Y3|YIHX_ECOLI Alpha-D-glucose 1-phosphate phosphatase YihX OS=Escherichia coli (strain K12) OX=83333 GN=yihX PE=1 SV=1}
+	{sp|P0A6T1|G6PI_ECOLI}	52000	0	4	4	{52000,52000,52000,52000}	{sp|P0A6T1|G6PI_ECOLI Glucose-6-phosphate isomerase OS=Escherichia coli (strain K12) OX=83333 GN=pgi PE=1 SV=1}
+	{sp|P0AFL3|PPIA_ECOLI}	47000	0	1	1	{47000}	{sp|P0AFL3|PPIA_ECOLI Peptidyl-prolyl cis-trans isomerase A OS=Escherichia coli (strain K12) OX=83333 GN=ppiA PE=1 SV=1}
+	{sp|P0AB91|AROG_ECOLI}	57000	0	2	2	{57000,57000}	{sp|P0AB91|AROG_ECOLI Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive OS=Escherichia coli (strain K12) OX=83333 GN=aroG PE=1 SV=1}
+	{sp|P26616|MAO1_ECOLI}	44000	0	1	1	{44000}	{sp|P26616|MAO1_ECOLI NAD-dependent malic enzyme OS=Escherichia coli (strain K12) OX=83333 GN=maeA PE=1 SV=4}
+	{sp|P07650|TYPH_ECOLI}	37000	0	1	1	{37000}	{sp|P07650|TYPH_ECOLI Thymidine phosphorylase OS=Escherichia coli (strain K12) OX=83333 GN=deoA PE=1 SV=3}
+	{sp|P04693|TYRB_ECOLI}	53000	0	1	1	{53000}	{sp|P04693|TYRB_ECOLI Aromatic-amino-acid aminotransferase OS=Escherichia coli (strain K12) OX=83333 GN=tyrB PE=1 SV=1}
+	{sp|P0A8V2|RPOB_ECOLI}	56000	0	14	14	{56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000}	{sp|P0A8V2|RPOB_ECOLI DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) OX=83333 GN=rpoB PE=1 SV=1}
+	{sp|P17315|CIRA_ECOLI}	63000	0	1	1	{63000}	{sp|P17315|CIRA_ECOLI Colicin I receptor OS=Escherichia coli (strain K12) OX=83333 GN=cirA PE=1 SV=2}
+	{sp|P0AG67|RS1_ECOLI}	59000	0	1	1	{59000}	{sp|P0AG67|RS1_ECOLI 30S ribosomal protein S1 OS=Escherichia coli (strain K12) OX=83333 GN=rpsA PE=1 SV=1}
+	{sp|P15640|PUR2_ECOLI}	57000	0	2	2	{57000,57000}	{sp|P15640|PUR2_ECOLI Phosphoribosylamine--glycine ligase OS=Escherichia coli (strain K12) OX=83333 GN=purD PE=1 SV=2}
+	{sp|P00864|CAPP_ECOLI}	47000	0	12	12	{47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000}	{sp|P00864|CAPP_ECOLI Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) OX=83333 GN=ppc PE=1 SV=1}
+	{sp|P64463|YDFZ_ECOLI}	53000	0	1	1	{53000}	{sp|P64463|YDFZ_ECOLI Putative selenoprotein YdfZ OS=Escherichia coli (strain K12) OX=83333 GN=ydfZ PE=1 SV=1}
+	{sp|P0A8I5|TRMB_ECOLI}	47000	0	1	1	{47000}	{sp|P0A8I5|TRMB_ECOLI tRNA (guanine-N(7)-)-methyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=trmB PE=1 SV=1}
+	{sp|P37747|GLF_ECOLI}	60000	0	1	1	{60000}	{sp|P37747|GLF_ECOLI UDP-galactopyranose mutase OS=Escherichia coli (strain K12) OX=83333 GN=glf PE=1 SV=1}
+	{sp|P06992|RSMA_ECOLI}	48000	0	2	2	{48000,48000}	{sp|P06992|RSMA_ECOLI Ribosomal RNA small subunit methyltransferase A OS=Escherichia coli (strain K12) OX=83333 GN=rsmA PE=1 SV=1}
+	{sp|P0A8N5|SYK2_ECOLI}	53000	0	0	2	{53000,53000}	{sp|P0A8N5|SYK2_ECOLI Lysine--tRNA ligase, heat inducible OS=Escherichia coli (strain K12) OX=83333 GN=lysU PE=1 SV=2}
+	{sp|P60757|HIS1_ECOLI}	46000	0	5	5	{46000,46000,46000,46000,46000}	{sp|P60757|HIS1_ECOLI ATP phosphoribosyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=hisG PE=1 SV=1}
+	{sp|P0AG14|SOHB_ECOLI}	47000	0	2	2	{47000,47000}	{sp|P0AG14|SOHB_ECOLI Probable protease SohB OS=Escherichia coli (strain K12) OX=83333 GN=sohB PE=1 SV=1}
+	{sp|P09831|GLTB_ECOLI}	59000	0	1	1	{59000}	{sp|P09831|GLTB_ECOLI Glutamate synthase [NADPH] large chain OS=Escherichia coli (strain K12) OX=83333 GN=gltB PE=1 SV=3}
+	{sp|P02358|RS6_ECOLI}	59000	0	2	2	{59000,59000}	{sp|P02358|RS6_ECOLI 30S ribosomal protein S6 OS=Escherichia coli (strain K12) OX=83333 GN=rpsF PE=1 SV=1}
+	{sp|P67910|HLDD_ECOLI}	51000	0	4	4	{51000,51000,51000,51000}	{sp|P67910|HLDD_ECOLI ADP-L-glycero-D-manno-heptose-6-epimerase OS=Escherichia coli (strain K12) OX=83333 GN=hldD PE=1 SV=1}
+	{sp|P11454|ENTF_ECOLI}	41000	0	2	2	{41000,41000}	{sp|P11454|ENTF_ECOLI Enterobactin synthase component F OS=Escherichia coli (strain K12) OX=83333 GN=entF PE=1 SV=3}
